"Item 116","Código","Descrição"
"714","023060010","Serviço de Repovoamento Florestal - Replantio de Espécies Florestais, Inclusive em Encostas, em Margens de Rios e De Lagos"
"1701","023060011","Serviço de Inventário Florestal"
"713","023060012","Serviço de Controle de Pragas Florestais"
"1701","023060013","Serviço de Inspeção Aérea de Repovoamentos Florestais"
"1102","023060014","Serviço de Extinção de Incêndio e Proteção Florestal"
"1701","023060099","Serviço de Apoio à Produção Florestal Não Especificado Anteriormente"
"1701","031160401","Atividades de Apoio à Pesca em água Salgada"
"1701","031240401","Atividades de Apoio à Pesca em água Doce"
"1701","032130501","Atividades de Apoio à Aqüicultura em água Salgada e Salobra"
"1701","032210701","Atividades de Apoio à Aqüicultura em água Doce"
"1405","050030201","Beneficiamento de Carvão Mineral"
"1405","060000202","Beneficiamento de Xisto"
"1405","060000302","Beneficiamento de Areias Betuminosas"
"1405","071030201","Pelotização, Sinterização e Outros Beneficiamentos de Minério de Ferro"
"1405","072190201","Beneficiamento de Minério de Alumínio"
"1405","072270201","Beneficiamento de Minério de Estanho"
"1405","072350201","Beneficiamento de Minério de Manganês"
"1405","072430201","Beneficiamento de Minério de Metais Preciosos"
"1405","072510002","Beneficiamento de Minerais Radioativos"
"1405","072940102","Beneficiamento de Minerios de Niobio e Titânio Não Associado a Extração"
"1405","072940202","Beneficiamento de Minerio de Tungstenio Não Associado a Extração"
"1405","072940302","Beneficiamento de Minerio de Niquel Não Associado a Extração"
"1405","072940501","Beneficiamento de Minérios de Cobre, Chumbo, Zinco e Outros Minerais Metálicos Não-ferrosos Não Especificados Anteriormente"
"1405","081000102","Beneficiamento de Extração de Ardósia"
"1405","081000202","Beneficiamento de Granito"
"1405","081000302","Beneficiamento de Mármore"
"1405","081000402","Beneficiamento de Calcário e Dolomita"
"1405","081000602","Beneficiamento de Areia, Cascalho Ou Pedregulho"
"1405","081000702","Beneficiamento de Argila"
"1405","081000802","Beneficiamento de Saibro"
"1405","081000902","Extração de Basalto e Beneficiamento Associado"
"1405","081001001","Beneficiamento de Gesso e Caulim Associado à Extração"
"1405","081009902","Britamento de Pedras e Beneficiamento de Outros Materiais Para Construção"
"1405","089320002","Beneficiamento de Gemas"
"1405","089910102","Beneficiamento de Grafita"
"1405","089919902","Beneficiamento de Outros Minerais Não-metalicos Nao Especificados Anteriormente"
"719","091060001","Atividades de Apoio à Extração de Petroleo e Gas Natural"
"1405","091060002","Serviços de Liquefação e Regaseificação de Gas Natural, Na Mina, Para Transporte"
"719","091060003","Serviços Relacionados com A Extração de Petróleo e Gas Natural, Realizado Por Terceiros, Exceto a Prospecção"
"719","099040101","Atividades de Apoio à Extração de Minério de Ferro"
"719","099040201","Atividades de Apoio à Extração de Minerais Metálicos Não-ferrosos"
"719","099040301","Atividades de Apoio à Extração de Minerais Não-metálicos"
"1405","101120102","Secagem e Salga de Couros e Peles de Bovinos"
"1405","101120202","Secagem e Salga de Couros e Peles de Equinos"
"1405","101120302","Serviço de Couro de Ovinos e Caprinos, Secagem e Salga"
"1405","101120402","Serviço de Secagem e Salga de Couro de Bufalinos"
"1405","101120501","Matadouro - Abate de Reses Sob Contrato, Exceto Abate de Suínos"
"1405","101210302","Salga de Couros e Peles de Suinos (porcos)"
"1405","101210401","Matadouro - Abate de Suínos Sob Contrato"
"1405","103170002","Beneficiamento de Castanha-de-caju e De Castanha-do-para"
"1405","104220002","Refino de óleos Vegetais Comestiveis e Nao Comestiveis(exceto de Milho)"
"1405","105110002","Beneficiamento de Leite"
"1405","106190101","Beneficiamento de Arroz"
"1405","106940002","Beneficiamento de Cevada em Grao e Sagu"
"1405","108130101","Beneficiamento de Café"
"1405","109960502","Beneficiamento de Cha de Ervas Diversas"
"1405","109969901","Beneficiamento de Guarana (em Bastao, em Pó, Etc)"
"1405","121070001","Processamento Industrial do Fumo"
"1405","131110002","Beneficiamento Realizado em Estabelecimento Nao Agricola de Algodao (algodao Cardado, Penteado, Etc.)"
"1405","131200002","Beneficiamento de Fibras"
"1405","134050101","Estamparia e Texturização em Fios, Tecidos, Artefatos Têxteis e Peças do Vestuário"
"1405","134050201","Alvejamento, Tingimento e Torção em Fios, Tecidos, Artefatos Têxteis e Peças do Vestuário"
"1405","134059901","Outros Serviços de Acabamento em Fios, Tecidos, Artefatos Têxteis e Peças do Vestuário"
"1409","135110003","Confecção de Artefatos de Tecidos Para Uso Domestico, Quando Nao Integrada a Tecelagem, Para Usuário Final com Material Por Ele Fornecido"
"1409","141180201","Facção de Roupas íntimas"
"1409","141260101","Confecção de Peças do Vestuario, Exceto Roupas Intimas e As Confeccionadas Sob Medida"
"1409","141260102","Atelier de Costura"
"1409","141260201","Confecção, Sob Medida, de Peças do Vestuário, Exceto Roupas íntimas"
"1409","141260301","Facção de Peças do Vestuário, Exceto Roupas íntimas"
"1409","141340201","Confecção, Sob Medida, de Roupas Profissionais"
"1409","141340301","Facção de Roupas Profissionais"
"1405","153190201","Acabamento de Calçados de Couro Sob Contrato"
"1405","161020102","Secagem, Preservação e Imunização da Madeira Serrada"
"1405","161020201","Secagem, Preservação e Imunização da Madeira Resserrada"
"1405","161020202","Beneficiamento de Madeira (serrada, Resserrada, Etc.)"
"1405","161020302","Secagem, Preservação e Imunização da Madeira Serrada"
"1405","161020402","Secagem, Preservação e Imunização da Madeira Resserrada"
"1405","161020501","Serviço de Tratamento de Madeira Realizado Sob Contrato"
"1413","162269902","Serviço de Carpintaria"
"1304","181130101","Impressão de Jornais"
"1304","181130101","Impressão de Jornais"
"1304","181130101","Impressão de Jornais"
"1304","181130201","Impressão de Livros, Revistas e Outras Publicações Periódicas"
"1304","181130201","Impressão de Livros, Revistas e Outras Publicações Periódicas"
"1304","181130201","Impressão de Livros, Revistas e Outras Publicações Periódicas"
"1304","181210001","Impressão de Material de Segurança"
"1304","181210001","Impressão de Material de Segurança"
"1304","181210001","Impressão de Material de Segurança"
"1304","181300101","Impressão de Material Para Uso Publicitário"
"1304","181300101","Impressão de Material Para Uso Publicitário"
"1304","181300101","Impressão de Material Para Uso Publicitário"
"2401","181300102","Impressão de Banners e Adesivos"
"1304","181309901","Impressão de Material Para Outros Usos"
"1304","181309901","Impressão de Material Para Outros Usos"
"1304","181309901","Impressão de Material Para Outros Usos"
"1304","182110001","Serviços de Pre-impressao de Livros, Jornais, Revistas e Outros Periódicos"
"1304","182110001","Serviços de Pre-impressao de Livros, Jornais, Revistas e Outros Periódicos"
"1304","182110001","Serviços de Pre-impressao de Livros, Jornais, Revistas e Outros Periódicos"
"1304","182110099","Serviços de Pre-impressao, Exceto de Livros, Jornais, Revistas e Outros Periódicos"
"1304","182110099","Serviços de Pre-impressao, Exceto de Livros, Jornais, Revistas e Outros Periódicos"
"1304","182110099","Serviços de Pre-impressao, Exceto de Livros, Jornais, Revistas e Outros Periódicos"
"1408","182290101","Servicos de Encadernacao e Plastificacao"
"1405","182299901","Serviços de Acabamentos Gráficos de Objetos Diversos de Livros, Jornais, Revistas e Outros Periódicos, Exceto Encadernação e Plastificação."
"1405","182299902","Serviços de Acabamentos Gráficos,  de Livros, Jornais, Revistas e Outros Periódicos, Exceto Encadernação e Plastificação"
"1301","183000101","Reprodução de Som em Qualquer Suporte"
"1302","183000201","Reprodução de Vídeo em Qualquer Suporte"
"1408","183000301","Reprodução de Software em Qualquer Suporte"
"1404","221290001","Reforma de Pneumaticos Usados"
"1404","221290002","Serviço de Pneus (recondicionamento, Recauchutagem, Recapagem Ou Remoldagem)"
"1405","221960001","Beneficiamento de Borracha Natural e Sintetica"
"1405","222939901","Beneficiamentos de Material Plastico, Tingimento, Pigmentação e Outros"
"702","233030501","Preparação de Massa de Concreto e Argamassa Para Construção"
"1405","239150101","Britamento de Pedras, Exceto Associado à Extração"
"1405","239150201","Aparelhamento de Pedras Para Construção, Exceto Associado à Extração"
"1405","239150301","Aparelhamento de Placas e Execução de Trabalhos em Mármore, Granito, Ardósia e Outras Pedras"
"1405","239230002","Beneficiamento de Gesso Ou Gipsita"
"1405","239910101","Decoração, Lapidação, Gravação, Vitrificação e Outros Trabalhos em Cerâmica, Louça, Vidro e Cristal"
"1405","239919902","Serviço de Beneficiamento de Minerais Nao-metalicos Nao Associado a Extração"
"1405","245120002","Serviço de Fundição de Metais Ferrosos"
"1405","245210002","Serviço de Fundição de Metais Não-ferrosos e Suas Ligas"
"1413","251100002","Fabricação de Estruturas Metalicas Sob Encomenda"
"1413","251280002","Fabricação de Esquadrias de Metal Sob Encoenda (portoes, Marcos Ou Batentes, Grades, Basculantes, Portas, Janelas Etc.), Exceto de Alumínio"
"1413","251280004","Fabricação de Esquadrias de Alumínio Sob Encomenda (portas, Grades, Portões, Basculantes e Semelhantes)"
"1405","253220102","Serviço de Estamparia de Metais"
"1405","253900101","Serviços de Usinagem, Tornearia e Solda"
"1405","253900201","Serviços de Tratamento e Revestimento em Metais, , Exceto Térmico e Químico"
"1405","253900202","Serviços de Tratamento Térmico e Químico de Metais  (têmpera, Recozimento, Cementação)"
"1405","253900203","Serviço de Pintura em Produtos Metálicos"
"1405","253902003","Serviço de Pintura Industrial"
"1413","254200001","Fabricação de Artigos de Serralheria, Exceto Esquadrias"
"1413","254200002","Serralheria (exceto Esquadrias)"
"1405","254380002","Serviços de Ferramentaria"
"1413","259930101","Serviços de Confecção de Armações Metálicas Para a Construção"
"1405","259930201","Serviço de Corte e Dobra de Metais"
"1405","259939902","Britamento, Lavagem, Peneiração e Outros Beneficiamentos de Escorias Ou de Outros Residuos Metalurgicos"
"1406","261080002","Montagem de Circuitos Eletrônicos Para Terceiros"
"1406","265230002","Serviço de Montagem de Cronômetros e Relógios"
"1405","272280201","Recondicionamento de Baterias e Acumuladores Para Veículos Automotores"
"1401","293010302","Serviço de Blindagem de Veiculos Automotores"
"1403","295060001","Recondicionamento e Recuperação de Motores Para Veículos Automotores"
"3901","321160101","Lapidação de Gemas"
"414","325070601","Serviços de Prótese Dentária"
"3901","325070901","Serviço de Laboratório óptico"
"1405","329909901","Beneficiamento de Algas Marinhas"
"9905","329909902","Serviço de Taxidermia"
"1401","331120001","Manutenção e Reparação de Tanques, Reservatórios Metálicos e Caldeiras, Exceto Para Veículos"
"1401","331210201","Manutenção e Reparação de Aparelhos e Instrumentos de Medida, Teste e Controle"
"1401","331210301","Manutenção e Reparação de Aparelhos Eletromédicos e Eletroterapêuticos e Equipamentos de Irradiação"
"1401","331210401","Manutenção e Reparação de Equipamentos e Instrumentos ópticos"
"1401","331390101","Manutenção e Reparação de Geradores, Transformadores e Motores Elétricos"
"1401","331390201","Manutenção e Reparação de Baterias e Acumuladores Elétricos, Exceto Para Veículos"
"1401","331399901","Manutenção e Reparação de Máquinas, Aparelhos e Materiais Elétricos Não Especificados Anteriormente"
"1401","331470101","Manutenção e Reparação de Máquinas Motrizes Não-elétricas"
"1401","331470201","Manutenção e Reparação de Equipamentos Hidráulicos e Pneumáticos, Exceto Válvulas"
"1401","331470301","Manutenção e Reparação de Válvulas Industriais"
"1401","331470401","Manutenção e Reparação de Compressores"
"1401","331470501","Manutenção e Reparação de Equipamentos de Transmissão Para Fins Industriais"
"1401","331470601","Manutenção e Reparação de Máquinas, Aparelhos e Equipamentos Para Instalações Térmicas"
"1401","331470701","Manutenção e Reparação de Máquinas e Aparelhos de Refrigeração e Ventilação Para Uso Industrial e Comercial"
"1401","331470801","Manutenção e Reparação de Máquinas, Equipamentos e Aparelhos Para Transporte e Elevação de Cargas"
"1401","331470901","Manutenção e Reparação de Máquinas de Escrever, Calcular e De Outros Equipamentos Não-eletrônicos Para Escritório"
"1401","331471001","Manutenção e Reparação de Máquinas e Equipamentos Para Uso Geral Não Especificados Anteriormente"
"1401","331471101","Manutenção e Reparação de Máquinas e Equipamentos Para Agricultura e Pecuária"
"1401","331471201","Manutenção e Reparação de Tratores Agrícolas"
"1401","331471301","Manutenção e Reparação de Máquinas-ferramenta"
"1401","331471401","Manutenção e Reparação de Máquinas e Equipamentos Para a Prospecção e Extração de Petróleo"
"1401","331471501","Manutenção e Reparação de Máquinas e Equipamentos Para Uso Na Extração Mineral, Exceto Na Extração de Petróleo"
"1401","331471601","Manutenção e Reparação de Tratores, Exceto Agrícolas"
"1401","331471701","Manutenção e Reparação de Máquinas e Equipamentos de Terraplenagem, Pavimentação e Construção, Exceto Tratores"
"1401","331471801","Manutenção e Reparação de Máquinas Para a Indústria Metalúrgica, Exceto Máquinas-ferramenta"
"1401","331471901","Manutenção e Reparação de Máquinas e Equipamentos Para As Indústrias de Alimentos, Bebidas e Fumo"
"1401","331472001","Manutenção e Reparação de Máquinas e Equipamentos Para a Indústria Têxtil, do Vestuário, do Couro e Calçados"
"1401","331472101","Manutenção e Reparação de Máquinas e Aparelhos Para a Indústria de Celulose, Papel e Papelão e Artefatos"
"1401","331472201","Manutenção e Reparação de Máquinas e Aparelhos Para a Indústria do Plástico"
"1401","331479901","Manutenção e Reparação de Outras Máquinas e Equipamentos Para Usos Industriais Não Especificados Anteriormente"
"1401","331550001","Manutenção e Reparação de Veículos Ferroviários"
"1401","331630101","Manutenção e Reparação de Aeronaves, Exceto a Manutenção Na Pista"
"1401","331630201","Manutenção de Aeronaves Na Pista"
"1401","331710101","Manutenção e Reparação de Embarcações e Estruturas Flutuantes"
"1401","331710201","Manutenção e Reparação de Embarcações Para Esporte e Lazer"
"1401","331980001","Manutenção e Reparação de Equipamentos e Produtos Não Especificados Anteriormente"
"1402","331980002","Manutenção e Reparação de Instrumentos Não-eletrônicos Para Uso Médico-hospitalar, Executada Por Unidade Especializada"
"1406","332100001","Instalação de Máquinas e Equipamentos Industriais"
"1406","332100002","Instalação e Integração de Sistemas de Automação Industrial"
"1406","332950101","Serviços de Montagem de Móveis de Qualquer Material"
"1406","332959901","Instalação de Outros Equipamentos Não Especificados Anteriormente"
"1703","351150201","Atividades de Coordenação e Controle da Operação da Geração e Transmissão de Energia Elétrica"
"1711","351230001","Transmissão de Energia Elétrica"
"1005","351310002","Corretagem, Intermediação e Agentes (agenciamento) de Energia Eletrica Produzida Por Terceiros"
"1010","351400001","Distribuição de Energia Elétrica"
"1010","352040201","Distribuição de Combustiveis Gasosos Por Redes Urbanas"
"1005","352040202","Atividades de Corretores Ou Agentes de Gas Que Organizam a Venda de Gas Atraves de Sistemas de Distribuição Operados Sob Contrato"
"9906","353010002","Serviço de Suprimento de Ar Condicionado"
"9902","360060101","Captação, Tratamento e Distribuição de água"
"1603","360060201","Distribuição de água Por Caminhões"
"1603","360060201","Distribuição de água Por Caminhões"
"1711","370110001","Gestão de Redes de Esgoto"
"710","370290001","Atividades Relacionadas a Esgoto, Exceto a Gestão de Redes"
"9901","370290002","Saneamento Ambiental, Inclusive Purificação, Tratamento, Esgotamento Sanitário e Congêneres"
"709","370290003","Esvaziamento e Limpeza de Tanques de Infiltração e Fossas Sépticas, Sumidouros e Poços de Esgoto"
"709","381140001","Coleta de Resíduos Não-perigosos"
"709","381220001","Coleta de Resíduos Perigosos"
"709","382110001","Tratamento e Disposição de Resíduos Não-perigosos"
"709","382200001","Tratamento e Disposição de Resíduos Perigosos"
"1405","383190101","Recuperação de Sucatas de Alumínio"
"1405","383199901","Recuperação de Materiais Metálicos, Exceto Alumínio"
"1405","383270001","Recuperação de Materiais Plásticos"
"1405","383940101","Usinas de Compostagem"
"1405","383949901","Recuperação de Materiais Não Especificados Anteriormente"
"712","390050001","Descontaminação e Outros Serviços de Gestão de Resíduos"
"702","412040001","Construção de Edificios"
"705","412040002","Reformas em Apartamentos, Casas, Conjuntos Habitacionais, Predios, Edificios, Edificaçoes, Condominios, Residencias, Etc."
"702","421110101","Construção de Rodovias e Ferrovias"
"705","421110102","Manutenção de Rodovias e Ferrovias"
"2401","421110201","Pintura Para Sinalização em Pistas Rodoviárias e Aeroportos"
"702","421200001","Construção de Obras-de-arte Especiais"
"705","421200002","Manutenção de Obras-de-arte Especiais"
"702","421380001","Obras de Urbanizacao  Ruas, Pracas e Calcadas"
"705","421380002","Reforma de Ruas, Praças e Calçadas"
"702","422190101","Construção de Barragens e Represas Para Geração de Energia Elétrica"
"702","422190201","Construção de Estações e Redes de Distribuição de Energia Elétrica"
"710","422190301","Manutenção de Redes de Distribuição de Energia Elétrica"
"702","422190401","Construção de Estações e Redes de Telecomunicações"
"710","422190501","Manutenção de Estações e Redes de Telecomunicações"
"702","422270101","Construção de Redes de Abastecimento de água, Coleta de Esgoto e Construções Correlatas, Exceto Obras de Irrigação"
"702","422270201","Obras de Irrigação"
"702","422350001","Construção de Redes de Transportes Por Dutos, Exceto Para água e Esgoto"
"702","429100001","Obras Portuarias, Maritimas e Fluviais"
"716","429100002","Limpeza de Rios, Portos, Canais, Baias, Lagos, Lagoas, Represas, Açudes e Similares (obras de Dragagem)"
"702","429280101","Montagem de Estruturas Metalicas"
"1413","429280102","Serviço de Soldagem Para Construção Civil"
"702","429280201","Obras de Montagem Industrial"
"702","429950101","Construção de Instalaçoes Esportivas e Recreativas"
"705","429950102","Manutenção de Instalaçoes Esportivas (exceto Edificaçoes)"
"702","429959901","Obras de Açudes"
"715","429959902","Obras de Contenção de Encostas"
"702","429959999","Outras Obras de Engenharia Civil Nao Especificadas Anteriormente"
"704","431180101","Demolição de Edifícios e Outras Estruturas"
"710","431180201","Preparação de Canteiro e Limpeza de Terreno"
"702","431260001","Perfurações e Sondagens"
"702","431340001","Obras de Terraplenagem"
"702","431930001","Serviços de Preparação do Terreno Não Especificados Anteriormente"
"702","432150001","Instalação Eletrica"
"710","432150002","Manutenção Eletrica"
"702","432150003","Obras de Instalações Elétricas em Edificações"
"702","432230101","Instalações Hidráulicas, Sanitárias e De Gás"
"1402","432230102","Serviços de Reparo de Rede Para Distribuição de Gases Fluidos e Diversos"
"1401","432230103","Serviços de Instalação, Alteração e Manutenção de Rede Para Distribuição de Gases Fluidos e Diversos"
"1401","432230104","Instalações Hidráulicas, Sanitárias e De Gás (reparação Ou Manutenção)"
"702","432230201","Instalação de Sistemas Centrais de Ar Condicionado, de Ventilação e Refrigeração"
"1401","432230202","Manutenção de Sistemas Centrais de Ar Condicionado, de Ventilação e Refrigeração"
"1406","432230203","Instalação de Equipamento de Ar Condicionado"
"702","432230301","Instalaçoes de Sistema de Prevenção Contra Incendio"
"1401","432230302","Manutenção de Sistemas de Alarme Contra Incendio"
"702","432910101","Instalação de Paineis Publicitarios"
"1401","432910102","Reparação Ou Manutenção de Anuncios Luminosos Ou Nao"
"1406","432910103","Instalação e Montagem de Placas Ou Painéis em Veículos Automotores e Similares"
"1406","432910201","Instalação de Equipamentos Para Orientação à Navegação Marítima, Fluvial e Lacustre"
"702","432910301","Instalação de Elevadores, Escadas e Esteiras Rolantes"
"1401","432910302","Manutenção e Reparação de Elevadores, Escadas e Esteiras Rolantes"
"702","432910401","Montagem e Instalação de Sistemas e Equipamentos de Iluminação e Sinalização em Vias Publicas, Portos e Aeroportos"
"1401","432910402","Manutenção de Rede de Iluminação Publica e Sinais Luminosos (semaforos)"
"702","432910501","Tratamentos Térmicos, Acústicos Ou de Vibração"
"702","432919901","Montagem de Estruturas de Madeiras"
"702","432919999","Outras Obras de Instalaçoes em Construçoes Nao Especificadas Anteriormente"
"702","433040101","Impermeabilização em Obras de Engenharia Civil"
"706","433040201","Instalação de Portas, Janelas, Tetos, Divisorias e Armarios Embutidos de Qualquer Material"
"1413","433040202","Execução de Trabalhos de Carpintaria em Obras, Residencias, Lojas e Etc. Quando Nao Realizada Pelo Próprio Fabricante"
"702","433040301","Obras de Acabamento em Gesso e Estuque"
"705","433040401","Serviços de Pintura de Edifícios em Geral"
"706","433040501","Aplicação de Revestimentos e De Resinas em Interiores e Exteriores"
"708","433040502","Serviços de Calafetagem"
"706","433040503","Colocação de Papeis de Parede"
"707","433040504","Serviços de Raspagem, Polimento e Aplicação de Resinas em Pisos, Paredes e Tetos"
"706","433040505","Colocação de Tacos, Carpetes e Outros Materiais de Revestimento de Pisos"
"702","433049901","Outras Obras de Acabamento da Construção"
"706","433049902","Instalação de Balcoes,equipamentos Para Lojas Comerciais, Toldos, Persianas (por Conta de Terceiros)"
"706","433049903","Serviços de Texturização em Paredes"
"705","433049904","Tratamento de Trincas e Fissuras em Paredes"
"706","433049905","Instalação de Espelhos Por Conta de Terceiros"
"710","433049906","Serviços de Manutenção e Conservação de Imóveis"
"702","439160001","Obras de Fundaçoes"
"9903","439160002","Locação de Bate-estacas e Equipamentos de Perfuração"
"702","439160003","Locação de Bate-estacas e Equipamentos de Perfuração com Operador"
"1711","439910101","Administração de Obras Sem Responsabilidade Técnica"
"702","439910102","Administração de Obras com Responsabilidade Técnica"
"1406","439910201","Montagem e Desmontagem de Andaimes e Outras Estruturas Temporárias"
"702","439910301","Obras de Alvenaria"
"304","439910401","Serviços de Operação e Fornecimento de Equipamentos Para Transporte e Elevação de Cargas e Pessoas Para Uso em Obras"
"702","439910501","Perfuração e Construção de Poços de água"
"702","439919901","Construção de Plantas Industriais (infra-estrutura)"
"702","439919902","Serviços de Concretagem"
"710","439919903","Serviços de Limpeza de Fachadas com Jateamento de Areia, Vapor, Agua Ou Semelhantes"
"702","439919999","Serviços Especializados Para Construção Nao Especificados Anteriormente"
"1009","451290101","Representantes Comerciais e Agentes do Comercio de Veiculos Automotores"
"1005","451290102","Intermediarios Na Venda de Veiculos Automotores, Atacadista e Varejista"
"1005","451290202","Corretora de Veiculos (em Consignação)"
"1401","452000101","Serviços de Manutenção e Reparação Mecânica de Veículos Automotores"
"1412","452000201","Serviços de Lanternagem Ou Funilaria e Pintura de Veículos Automotores"
"1401","452000301","Serviços de Manutenção e Reparação Elétrica de Veículos Automotores"
"1401","452000401","Serviços de Alinhamento e Balanceamento de Veículos Automotores"
"1401","452000501","Serviços de Lavagem, Lubrificação e Polimento de Veículos Automotores, Exceto Lavagem a Seco"
"1401","452000502","Serviços de Lavagem Automotiva a Seco"
"1401","452000601","Serviços de Borracharia Para Veículos Automotores"
"1401","452000701","Serviços de Manutenção e Reparação de Acessorios Para Veiculos Automotores"
"1406","452000702","Serviços de Instalação de Acessórios Para Veiculos Automotores"
"1411","452000703","Serviços de Capotaria"
"1411","452000801","Serviços de Capotaria"
"1009","453070601","Representantes Comerciais e Agentes do Comércio de Peças e Acessórios Novos e Usados Para Veículos Automotores"
"1009","454210101","Representantes Comerciais e Agentes do Comércio de Motocicletas e Motonetas, Peças e Acessórios"
"1401","454390001","Manutenção e Reparação de Motocicletas e Motonetas"
"1009","461170001","Representantes Comerciais e Agentes do Comércio de Matérias-primas Agrícolas e Animais Vivos"
"1009","461250001","Representantes Comerciais e Agentes do Comércio de Combustíveis, Minerais, Produtos Siderúrgicos e Químicos"
"1009","461330001","Representantes Comerciais e Agentes do Comércio de Madeira, Material de Construção e Ferragens"
"1009","461410001","Representantes Comerciais e Agentes do Comércio de Máquinas, Equipamentos, Embarcações e Aeronaves"
"1009","461500001","Representantes Comerciais e Agentes do Comércio de Eletrodomésticos, Móveis e Artigos de Uso Doméstico"
"1009","461680001","Representantes Comerciais e Agentes do Comércio de Têxteis, Vestuário, Calçados e Artigos de Viagem"
"1009","461760001","Representantes Comerciais e Agentes do Comércio de Produtos Alimentícios, Bebidas e Fumo"
"1009","461840101","Representantes Comerciais e Agentes do Comércio de Medicamentos, Cosméticos e Produtos de Perfumaria"
"1009","461840201","Representantes Comerciais e Agentes do Comércio de Instrumentos e Materiais Odonto-médico-hospitalares"
"1009","461840301","Representantes Comerciais e Agentes do Comércio de Jornais, Revistas e Outras Publicações"
"1009","461849901","Outros Representantes Comerciais e Agentes do Comércio Especializado em Produtos Não Especificados Anteriormente"
"1009","461920001","Representantes Comerciais e Agentes do Comércio de Mercadorias em Geral Não Especializado"
"1405","464430102","Serviços de Fracionamento e Envasamento de Produtos Farmaceuticos de Uso Humano Próprios"
"1405","464430202","Serviços de Fracionamento e Envasamento de Produtos Farmaceuticos de Uso Veterinario Próprios"
"1405","464430203","Serviços de Liquefação de Gas Para Fins de Transporte em Veiculos Dutos Moveis"
"1401","475120102","Recarga de Cartuchos Para Equipamentos de Informatica"
"1401","475120201","Recarga de Cartuchos Para Equipamentos de Informática"
"407","477170201","Comércio Varejista de Produtos Farmacêuticos, com Manipulação de Fórmulas"
"1407","478909913","Colocação de Molduras e Congeneres"
"1601","491240201","Transporte Ferroviário de Passageiros Municipal e Em Região Metropolitana"
"1601","491240201","Transporte Ferroviário de Passageiros Municipal e Em Região Metropolitana"
"1601","491240201","Transporte Ferroviário de Passageiros Municipal e Em Região Metropolitana"
"1601","491240201","Transporte Ferroviário de Passageiros Municipal e Em Região Metropolitana"
"1601","491240301","Transporte Metroviário"
"1601","491240301","Transporte Metroviário"
"1601","491240301","Transporte Metroviário"
"1601","491240301","Transporte Metroviário"
"1601","492130101","Transporte Rodoviario Coletivo de Passageiros, com Itinerario Fixo, Municipal"
"1601","492130101","Transporte Rodoviario Coletivo de Passageiros, com Itinerario Fixo, Municipal"
"1601","492130101","Transporte Rodoviario Coletivo de Passageiros, com Itinerario Fixo, Municipal"
"1601","492130101","Transporte Rodoviario Coletivo de Passageiros, com Itinerario Fixo, Municipal"
"1601","492130102","Transporte Rodoviario de Passageiros, Regular, Municipal Urbano - Principal"
