"Código","Especificação da Receita"
"2429","Órgãos do Poder Público - CEI"
"2437","Órgãos do Poder Público - CNPJ - Recolhimento sobre Aquisição de Produto Rural do Produtor Rural Pessoa Física"
"2445","Órgão do Poder Público - CNPJ - Recolhimento sobre Contratação de Transportador Rodoviário Autônomo"
"2500","Associação Desportiva que Mantém Equipe de Futebol Profissional - Receita Bruta a Título de Patrocínio, Licenciamento de Uso de Marcas e Símbolos, Publicidade, Propaganda e Transmissão de Espetáculo - CNPJ - Retenção e recolhimento efetuado por empresa patrocinadora em seu próprio nome"
"2550","Associação Desportiva que Mantém Equipe de Futebol Profissional - Receita Bruta de Espetáculos Desportivos - CNPJ - Retenção e recolhimento efetuado por entidade promotora do espetáculo (Federação ou Confederação), em seu próprio nome"
"2607","Comercialização da Produção Rural - CNPJ"
"2615","Comercialização da Produção Rural - CNPJ- Pagamento exclusivo para Outras Entidades (SENAR)"
"2631","Contribuição Retida sobre a NF/Fatura da Empresa Prestadora de Serviço - CNPJ"
"2640","Contribuição Retida sobre NF/Fatura da Prestadora de Serviço - CNPJ - Uso Exclusivo do Órgão do Poder Público - Administração Direta, Autarquia e Fundação Federal, Estadual, do Distrito Federal ou Municipal (contratante do serviço)."
"2658","Contribuição Retida sobre a NF/Fatura da Empresa Prestadora de Serviço - CEI"
"2682","Contribuição Retida sobre NF/Fatura da Prestadora de Serviço - CEI (Uso Exclusivo do Órgão do Poder Público - Administração Direta, Autarquia e Fundação Federal, Estadual, do Distrito Federal ou Municipal (contratante do serviço)."
"2704","Comercialização da Produção Rural - CEI"
"2712","Comercialização da Produção Rural - CEI - Pagamento exclusivo para Outras Entidades (SENAR)"
"2801","Reclamatória Trabalhista - CEI"
"2810","Reclamatória Trabalhista - CEI - Pagamento exclusivo para Outras Entidades (SESC, SESI, SENAI, etc)."
"2852","Acordo Perante Comissão de Conciliação Prévia, Dissídio ou Acordo Coletivo e Convenção Coletiva - CEI"
"2879","Acordo Perante Comissão de Conciliação Prévia, Dissídio ou Acordo Coletivo e Convenção Coletiva - CEI - Pagamento exclusivo para Outras Entidades (SESC, SESI, SENAI, etc)."
"2909","Reclamatória Trabalhista - CNPJ"
"2917","Reclamatória Trabalhista - CNPJ Pagamento exclusivo para Outras Entidades (SESC, SESI, SENAI, etc.)"
"2950","Acordo Perante Comissão de Conciliação Prévia, Dissídio ou Acordo Coletivo e Convenção Coletiva - CNPJ"
"2976","Acordo Perante Comissão de Conciliação Prévia, Dissídio ou Acordo Coletivo e Convenção Coletiva - CNPJ - Pagamento exclusivo para Outras Entidades (SESC, SESI, SENAI, etc.)"
"3000","ACAL - CNPJ"
"3107","ACAL - CEI"
"3204","GRC Contribuição de Empresa Normal - DEBCAD (Preenchimento exclusivo pelo órgão emissor)"
"4006","Pagamento de Débito - DEBCAD (Preenchimento exclusivo pelo órgão emissor)"
"4103","Pagamento de Débito - CNPJ (Preenchimento exclusivo pelo órgão emissor)"
"4141","PERT - Previdenciário - Pessoa Jurídica"
"4142","PERT - Previdenciário - Pessoa Física"
"4135","PRT - Previdenciário - Pessoa Jurídica"
"4136","PRT - Previdenciário - Pessoa Física"
"4105","Parcelamento - CEI"
"4200","Pagamento de Débito Administrativo - Número do Título de Cobrança (Preenchimento exclusivo pelo órgão emissor)"
"4308","Pagamento de Parcelamento Administrativo - Número do Título de Cobrança (Preenchimento exclusivo pelo órgão emissor)"
"4316","Pagamento de Parcelamento de Clube de Futebol - CNPJ - (5% da Receita Bruta destinada ao Clube de Futebol) - Art 2º da Lei nº 8.641/1993"
"4324","Parcelamento Super Simples - Lei Complementar 123/06 - Título de Cobrança"
"4332","Parcelamento Timemania"
"4340","Parcelamento IES"
"4359","Parcelamento Super Simples - Lei Complementar 123/06 - Título de Cobrança (PLC 128)"
"4367","Parcelamento Órgãos do Poder Público"
"5037","Recuperação de Despesas de Exercícios Anteriores - CNPJ - Uso exclusivo no SIAF"
"5045","Repasse da Secretaria do Tesouro Nacional - STN - das Contribuições Previdenciárias Relativas ao SIMPLES - CNPJ - Uso exclusivo no SIAFI"
"5053","Custas Judiciais - Sucumbência - CNPJ - Uso exclusivo no SIAFI"
"5061","Repasse da Secretaria do Tesouro Nacional - STN - das Receitas Provenientes da CPMF Relativas aos Recolhimentos de Contribuições Previdenciárias - CNPJ - Uso exclusivo no SIAFI"
"5070","Repasse da Secretaria do Tesouro Nacional - STN - das Contribuições Previdenciárias Relativas ao SIMPLES/PAES - CNPJ - Uso exclusivo no SIAFI"
"5088","Contribuição da Rede Hospitalar Repassada pelo Fundo Nacional de Saúde - CNPJ - Uso exclusivo no SIAFI"
"5096","Multas Contratuais - CNPJ - Uso exclusivo no SIAFI ou via STN0018, por determinação expressa do INSS"
"5100","REFIS - Repasse de Contribuições Previdenciárias Efetuado pela STN de Parcela sobre Faturamento - CNPJ - Uso exclusivo no SIAFI"
"5118","REFIS - Repasse de Contribuições Previdenciárias Efetuado pela STN de Parcela Fixa - CNPJ - Uso exclusivo no SIAFI"
"5126","FIES - Repasse de Contribuições Previdenciárias Efetuadas pela STN Referente à Conversão de Títulos - CNPJ - Uso exclusivo no SIAFI"
"5134","CDP - Repasse de Contribuições Previdenciárias Efetuado pela STN Referente à Conversão de Títulos - CNPJ - Uso exclusivo no SIAFI"
"5304","Auxiliares Locais"
"6009","Pagamento de Dívida Ativa Débito - Referência (Preenchimento exclusivo pelo órgão emissor)"
"6106","Pagamento de Dívida Ativa Parcelamento - Referência (Preenchimento exclusivo pelo órgão emissor)"
"6203","Pagamento de Dívida Ativa Ação Judicial - Referência (Preenchimento exclusivo pelo órgão emissor)"
"6300","Pagamento de Dívida Ativa Cobrança Amigável - Referência (Preenchimento exclusivo pelo órgão emissor)"
"6408","Conversão em receita de depósito judicial - casos anteriores à Lei n° 9.703/98 - CNPJ"
"6432","Conversão em Receita de Depósito Judicial - Casos Anteriores à Lei n° 9.703/98 - CEI"
"6440","Conversão em Receita de Depósito Judicial - Casos Anteriores à Lei nº 9.703/98 - DEBCAD"
"6459","Conversão em Receita de Depósito Judicial - Casos Anteriores à Lei nº 9.703/98 - NB"
"6467","Conversão em Receita de Depósito Judicial - Casos Anteriores à Lei nº 9.703/98 - NIT/PIS/PASEP"
"6505","COMPREV - Pagamento de Dívida Ativa - Parcelamento de Regime Próprio de Previdência Social RPPS - Órgão do Poder Público - Referência"
"6513","COMPREV - Pagamento de Dívida Ativa - Não Parcelada de Regime Próprio de Previdência Social RPPS - Órgão do Poder Público - Referência"
"6602","Levantamento Recebimento de Sucumbência/Honorário Advocatício - Divida Ativa - CNPJ"
"6610","Levantamento Recebimento de Sucumbência/Honorário Advocatício - Divida Ativa - CPF"
"6629","Levantamento Recebimento de Sucumbência/Honorário Advocatício - Divida Ativa - CEI"
"6670","Reembolso de 1% do FNDE - Dívida Ativa - CNPJ"
"6700","Devolução/Restituição ao INSS de Valores Pagos por Precatórios e RPV - CNPJ"
"6718","Devolução/Restituição ao INSS de Valores Pagos por Precatórios e RPV - CPF"
"6742","Valores Devidos por Prefeituras ao INSS Referente a Precatórios e RPV - CNPJ"
"6750","Valores Devidos por Prefeituras ao INSS Referente a Precatórios e RPV - CPF"
"7307","COMPREV - Recolhimento Efetuado por RPPS - Órgão do Poder Público - CNPJ"
"7315","COMPREV - Recolhimento Efetuado por RPPS - Órgão do Poder Público - Estoque - CNPJ"
"8001","Financiamento Imobiliário - Referência (Preenchimento exclusivo pelo órgão emissor)"
"8109","Aluguéis - Referência (Preenchimento exclusivo pelo órgão emissor)"
"8133","Condomínio a Título de Reembolso - Referência (Preenchimento exclusivo pelo órgão emissor)"
"8141","Parcelamento de Financiamento Imobiliário - Referência (Preenchimento exclusivo pelo órgão emissor)"
"8150","Parcelamento de Aluguéis - Referência (Preenchimento exclusivo pelo órgão emissor)"
"8168","Taxa de Ocupação - Referência (Preenchimento exclusivo pelo órgão emissor)"
"8176","Impostos e Taxas a Título de Reembolso - Referência (Preenchimento exclusivo pelo órgão emissor)"
"8206","Alienação de Bens Imóveis - Referência (Preenchimento exclusivo pelo órgão emissor)"
"8214","Alienação de Bens Imóveis - CNPJ"
"8222","Alienação de Bens Imóveis - CPF"
"8249","Alienação de Bens Móveis - CPF"
"8257","Alienação de Bens Móveis - Referência (Preenchimento exclusivo pelo órgão emissor)"
"8273","Alienação de Bens Móveis - CNPJ"
"8303","Aluguéis de Bens de Uso Especial - CNPJ"
"8311","Aluguéis de Bens de Uso Especial - CPF"
"8346","Aluguéis de Bens Dominicais - CNPJ"
"8354","Aluguéis de Bens Dominicais - CPF"
"8362","Taxa de Ocupação de Bens Dominicais - CNPJ"
"8370","Taxa de Ocupação de Bens Dominicais - CPF"
"8400","Parcelamento de Aluguéis de Bens de Uso Especial - CNPJ"
"8419","Parcelamento de Aluguéis de Bens de Uso Especial - CPF"
"8443","Parcelamento de Aluguéis de Bens Dominicais - CNPJ"
"8451","Parcelamento de Aluguéis de Bens Dominicais - CPF"
"8605","Dividendos - Patrimônio - CNPJ"
"8907","Recuperação de Despesas de Exercícios Anteriores - CNPJ"
"8915","Recuperação de Despesas de Exercícios Anteriores - CPF"
"8940","Multas Contratuais - CNPJ"
"8958","Multas Contratuais - CPF"
"9008","Benefício - NB (Preenchimento exclusivo pelo órgão emissor)"
"9016","Devolução de Pagamento de Benefício Referente a Depósito Judicial Efetuado pelo INSS - NB (Preenchimento exclusivo pelo órgão emissor)"
"9024","Devoluções de Valores Referentes a Benefícios Pagos Indevidamente pelo Agente Pagador - Exercícios Anteriores - NB"
"9040","Devoluções de Valores Referentes a Benefícios Pagos Indevidamente pelo Agente Pagador - Dentro do Exercício - NB"
"9105","Devolução de Benefícios não Pagos - CONVÊNIOS - CNPJ"
"9113","Devolução de Benefícios não Pagos - CONVÊNIOS - NB"
"9202","Devolução de Benefícios não Pagos - ACORDOS INTERNACIONAIS - CNPJ"
"9210","Devolução de Benefícios não Pagos - ACORDOS INTERNACIONAIS - NB"
"9601","Recebimento de Valores Referentes a Penas Alternativas FRGPS - CNPJ"
"9610","Recebimento de Valores Referentes a Penas Alternativas FRGPS - CPF"
"9636","Recebimento Valores em Ações Regressivas Acidentárias do INSS - CNPJ"
"9652","Recebimento Valores Ações Regressivas Acidentárias do INSS - CPF"
